,number_of_matches,number_of_players
0,0,217
1,1,102
2,2,59
3,3,22
4,4,15
5,5,5
6,6,3
7,7,10
8,8,6
9,9,6
10,10,5
11,11,2
12,12,5
13,13,2
14,14,3
15,15,3
16,16,5
17,17,4
18,18,4
19,19,1
20,20,3
21,21,3
22,22,3
23,23,3
24,24,0
25,25,0
26,26,1
27,27,0
28,28,3
29,29,1
30,30,3
31,31,3
32,32,0
33,33,3
34,34,2
35,35,3
36,36,2
37,37,1
38,38,1
39,39,5
40,40,3
41,41,1
42,42,3
43,43,6
44,44,1
45,45,0
46,46,4
47,47,1
48,48,3
49,49,4
50,50,2
51,51,0
52,52,3
53,53,3
54,54,2
55,55,2
56,56,1
57,57,5
58,58,1
59,59,1
60,60,1
61,61,0
62,62,1
63,63,1
64,64,3
65,65,1
66,66,2
67,67,2
68,68,2
69,69,1
70,70,0
71,71,0
72,72,0
73,73,0
74,74,0
75,75,0
76,76,0
77,77,0
78,78,0
79,79,1
