,number_of_matches,number_of_players
0,0,47
1,1,142
2,2,63
3,3,39
4,4,29
5,5,23
6,6,15
7,7,8
8,8,11
9,9,9
10,10,7
11,11,2
12,12,3
13,13,6
14,14,3
15,15,3
16,16,5
17,17,7
18,18,7
19,19,2
20,20,1
21,21,5
22,22,3
23,23,1
24,24,3
25,25,5
26,26,0
27,27,1
28,28,4
29,29,2
30,30,0
31,31,2
32,32,1
33,33,1
34,34,1
35,35,0
36,36,4
37,37,1
38,38,5
39,39,0
40,40,1
41,41,1
42,42,1
43,43,1
44,44,0
45,45,3
46,46,1
47,47,0
48,48,2
49,49,2
50,50,1
51,51,1
52,52,0
53,53,2
54,54,2
55,55,1
56,56,0
57,57,0
58,58,2
59,59,2
60,60,1
61,61,2
62,62,1
63,63,0
64,64,2
65,65,0
66,66,3
67,67,2
68,68,1
69,69,1
70,70,0
71,71,1
72,72,1
73,73,0
74,74,2
75,75,1
76,76,2
77,77,1
78,78,0
79,79,1
80,80,1
81,81,1
82,82,2
83,83,0
84,84,0
85,85,1
86,86,0
87,87,1
88,88,2
89,89,1
90,90,2
91,91,1
92,92,2
93,93,3
94,94,0
95,95,0
96,96,2
97,97,2
98,98,0
99,99,1
100,100,0
101,101,1
102,102,1
103,103,0
104,104,2
105,105,2
106,106,0
107,107,1
108,108,2
109,109,0
110,110,1
111,111,2
112,112,2
113,113,2
114,114,0
115,115,1
116,116,1
117,117,1
118,118,1
119,119,0
120,120,1
121,121,1
122,122,1
123,123,2
124,124,1
125,125,1
126,126,1
127,127,1
128,128,2
129,129,1
130,130,0
131,131,0
132,132,0
133,133,0
134,134,0
135,135,0
136,136,0
137,137,0
138,138,1
139,139,0
140,140,0
141,141,1
142,142,0
143,143,0
144,144,2
145,145,0
146,146,1
147,147,0
148,148,0
149,149,1
150,150,0
151,151,0
152,152,0
153,153,0
154,154,0
155,155,0
156,156,0
157,157,0
158,158,0
159,159,0
160,160,0
161,161,0
162,162,0
163,163,0
164,164,0
165,165,0
166,166,0
167,167,1
168,168,0
169,169,0
170,170,0
171,171,0
172,172,1
173,173,1
174,174,0
175,175,1
176,176,0
177,177,0
178,178,0
179,179,0
180,180,0
181,181,0
