,winner,number_of_matches
0,200711,0
1,110602,11
2,104460,3
3,104467,2
4,104468,55
5,208937,1
6,104494,0
7,206909,0
8,104527,53
9,104534,2
10,104542,52
11,110686,0
12,104545,46
13,104547,0
14,104563,1
15,104571,7
16,104586,5
17,104593,0
18,104597,0
19,110748,2
20,104607,22
21,127143,0
22,104620,4
23,133297,1
24,104629,4
25,127157,1
26,209080,0
27,110778,1
28,208043,0
29,108739,2
30,104655,47
31,104656,1
32,104660,11
33,104665,33
34,108763,1
35,209119,0
36,104672,0
37,108772,0
38,104678,8
39,104719,20
40,104731,15
41,207134,1
42,104735,1
43,207139,1
44,100644,67
45,209188,1
46,104745,68
47,104755,35
48,133430,66
49,127300,1
50,207176,0
51,209225,0
52,209226,1
53,207182,1
54,209238,1
55,104792,58
56,104797,16
57,127326,0
58,104804,1
59,104810,7
60,127339,2
61,104868,3
62,104871,55
63,104882,0
64,104890,0
65,104897,7
66,104898,33
67,104901,0
68,104907,2
69,104918,18
70,104919,34
71,104925,69
72,104926,54
73,104932,0
74,104947,0
75,109054,0
76,104970,1
77,104978,2
78,104999,15
79,207400,0
80,207401,0
81,111153,8
82,105011,2
83,105015,1
84,207415,0
85,207421,0
86,105023,41
87,111167,0
88,121411,0
89,105030,0
90,105041,4
91,127570,0
92,111190,6
93,111192,1
94,105051,21
95,105053,5
96,111197,0
97,111200,8
98,111202,14
99,105062,48
100,105063,1
101,105064,0
102,105065,4
103,117353,2
104,117356,4
105,117360,3
106,105074,2
107,105077,54
108,207479,0
109,105085,0
110,105091,1
111,105111,0
112,207518,0
113,105132,0
114,105138,65
115,105147,3
116,121531,1
117,105155,9
118,105156,2
119,105163,1
120,105166,3
121,105173,53
122,105208,23
123,207608,0
124,105216,7
125,105217,1
126,105223,13
127,105226,10
128,105227,42
129,105238,0
130,105254,1
131,207669,0
132,105273,0
133,207680,0
134,105292,2
135,111442,48
136,105299,0
137,133975,2
138,133979,0
139,111453,1
140,105311,57
141,111456,22
142,111459,1
143,111460,1
144,125802,20
145,123755,8
146,131951,1
147,105332,63
148,105334,2
149,123768,0
150,207738,0
151,105339,2
152,105341,28
153,205695,0
154,105349,1
155,105357,49
156,105359,9
157,111505,0
158,125842,1
159,123795,4
160,111511,3
161,111513,43
162,111515,1
163,105373,30
164,105376,31
165,105379,38
166,103333,26
167,205734,4
168,105385,2
169,207797,2
170,105406,0
171,105413,2
172,209866,0
173,209867,0
174,209868,0
175,209869,0
176,209870,0
177,209871,0
178,209872,0
179,209873,0
180,209874,0
181,105430,57
182,111575,59
183,105432,19
184,111577,3
185,111576,2
186,111578,0
187,105436,1
188,111581,3
189,207836,0
190,111574,1
191,105434,1
192,105441,0
193,134114,0
194,134120,0
195,105449,35
196,207852,1
197,105453,43
198,105464,0
199,105467,0
200,105477,5
201,105479,0
202,105487,7
203,123921,0
204,105493,2
205,105497,2
206,105499,0
207,105502,0
208,128034,49
209,121896,1
210,105515,0
211,105526,64
212,105539,9
213,109640,1
214,134217,0
215,103499,0
216,105550,62
217,123983,1
218,105554,40
219,105561,3
220,105566,0
221,207971,0
222,207972,0
223,207973,0
224,105575,21
225,103529,0
226,105578,0
227,105577,12
228,124014,1
229,105583,48
230,105585,3
231,105587,0
232,105589,0
233,124022,0
234,207989,0
235,109698,0
236,109699,2
237,208004,0
238,105606,0
239,103565,0
240,126094,57
241,105614,18
242,105613,5
243,111761,1
244,207830,0
245,126102,0
246,105626,2
247,208028,0
248,208029,2
249,105633,3
250,105634,2
251,126120,2
252,105641,2
253,109739,16
254,105643,34
255,126125,3
256,111790,12
257,124079,2
258,206000,0
259,105649,17
260,111794,9
261,111795,2
262,126127,0
263,111797,40
264,126128,0
265,103607,0
266,105656,3
267,105657,28
268,208055,2
269,132283,43
270,111805,0
271,138431,0
272,105668,0
273,126149,2
274,111815,46
275,105671,0
276,105676,64
277,126156,12
278,105683,36
279,124116,3
280,105688,2
281,105691,0
282,122078,0
283,126174,0
284,124126,0
285,208103,1
286,105707,0
287,208108,0
288,126190,2
289,136440,8
290,124154,0
291,126203,60
292,126204,1
293,126205,6
294,122109,4
295,126207,46
296,105723,0
297,144642,0
298,105731,2
