,winner,number_of_matches
0,200711,1
1,110602,28
2,104460,7
3,104467,8
4,104468,123
5,208937,1
6,104494,3
7,206909,3
8,104527,102
9,104534,18
10,104542,64
11,110686,1
12,104545,112
13,104547,25
14,104563,2
15,104571,36
16,104586,12
17,104593,1
18,104597,1
19,110748,4
20,104607,45
21,127143,3
22,104620,13
23,133297,5
24,104629,10
25,127157,4
26,209080,1
27,110778,1
28,208043,0
29,108739,4
30,104655,88
31,104656,2
32,104660,21
33,104665,50
34,108763,2
35,209119,1
36,104672,2
37,108772,0
38,104678,28
39,104719,29
40,104731,92
41,207134,1
42,104735,1
43,207139,4
44,100644,172
45,209188,1
46,104745,144
47,104755,105
48,133430,146
49,127300,2
50,207176,1
51,209225,1
52,209226,3
53,207182,1
54,209238,1
55,104792,124
56,104797,49
57,127326,0
58,104804,1
59,104810,8
60,127339,4
61,104868,3
62,104871,104
63,104882,10
64,104890,9
65,104897,16
66,104898,89
67,104901,0
68,104907,5
69,104918,34
70,104919,81
71,104925,175
72,104926,129
73,104932,2
74,104947,1
75,109054,3
76,104970,2
77,104978,3
78,104999,64
79,207400,1
80,207401,0
81,111153,9
82,105011,3
83,105015,7
84,207415,1
85,207421,1
86,105023,90
87,111167,2
88,121411,1
89,105030,2
90,105041,31
91,127570,1
92,111190,7
93,111192,2
94,105051,62
95,105053,9
96,111197,2
97,111200,22
98,111202,61
99,105062,97
100,105063,3
101,105064,6
102,105065,22
103,117353,2
104,117356,8
105,117360,5
106,105074,25
107,105077,112
108,207479,1
109,105085,2
110,105091,1
111,105111,1
112,207518,5
113,105132,13
114,105138,138
115,105147,5
116,121531,1
117,105155,18
118,105156,3
119,105163,2
120,105166,17
121,105173,123
122,105208,42
123,207608,0
124,105216,43
125,105217,4
126,105223,74
127,105226,18
128,105227,122
129,105238,10
130,105254,1
131,207669,1
132,105273,1
133,207680,0
134,105292,4
135,111442,71
136,105299,1
137,133975,9
138,133979,0
139,111453,2
140,105311,111
141,111456,48
142,111459,2
143,111460,6
144,125802,45
145,123755,17
146,131951,2
147,105332,128
148,105334,3
149,123768,1
150,207738,1
151,105339,2
152,105341,48
153,205695,0
